BBL.ID,DDays
2441-22586,7.726385338
2461-05358,NA
2461-05359,25.18936267
2461-05361,8.736184235
2461-05363,NA
2461-05364,3.35791242
2461-05365,3.387626986
2461-05371,8.606183321
2461-05373,29.43723296
2461-05375,NA
2461-05377,NA
2461-05378,NA
2461-05379,23.83462998
2461-05380,0.185791174
2461-05381,3.485708574
2461-05382,7.712355588
2461-05388,NA
2461-05393,NA
2461-05394,4.212986847
2461-05395,3.978494839
2461-05397,7.944871223
2461-05398,7.12155441
2461-05399,NA
2461-05400,0.411507301
2461-14702,3.046364104
2461-14704,24.30100941
2461-14708,15.18500904
2461-14712,23.61355643
2461-14714,23.51546611
2461-14715,0.634099
