BBL.ID,Year,Month,Day,Hour,Minute,Location,Species,Age,Mass,WC,EC,Tarsus,Culmen,Fat,ID,Body,ResMB
1311-53431,2013,8,14,13,51,MILL RIVER,SESA,HY,28,97,23.9,24.3,NA,NA,62,86.53001115,-3.4176752
1311-53432,2013,8,14,13,51,MILL RIVER,SESA,AHY,28.4,98,19.2,21.35,NA,NA,60,82.84582398,-0.977843591
1311-53434,2013,8,15,17,20,DRY LEDGE,SESA,AHY,20,93,17.6,26.7,NA,NA,67,80.70982402,-8.19520003
1311-53435,2013,8,15,17,20,DRY LEDGE,SESA,AHY,24,101,19.9,21.6,NA,NA,64,85.30026237,-6.736797627
1311-53436,2013,8,15,17,20,DRY LEDGE,SESA,HY,22,99,17.7,22.5,NA,NA,65,82.91276133,-7.414904937
1311-53437,2013,8,15,17,20,DRY LEDGE,SESA,HY,20,95.5,18.6,20.7,NA,NA,66,80.6171882,-8.143910165
1311-53438,2013,8,15,17,20,DRY LEDGE,SESA,AHY,29,100.5,19.5,21.42,NA,NA,69,84.64658583,-1.374875168
1311-53439,2013,8,15,17,20,DRY LEDGE,SESA,HY,24,96,17.83,21.09,NA,NA,72,80.56512759,-4.115085658
1311-53447,2013,8,16,15,26,MILL RIVER,SEPL,AHY,41.2,124,12.4,24.8,8,0.5,59,NA,NA
1311-53449,2013,8,16,16,1,MILL RIVER,LESA,HY,21.1,92,18.9,19.1,15.5,1,58,NA,NA
1311-53450,2013,8,16,16,5,MILL RIVER,SESA,HY,23.2,98,17.7,22.4,14.3,0,70,82.24518253,-5.845285184
1311-53452,2013,8,16,16,5,MILL RIVER,SESA,HY,26.6,95,17.9,21.4,14.5,1,75,80.10438283,-1.259984142
1311-53453,2013,8,16,16,5,MILL RIVER,SESA,HY,22,97,20.5,23.7,17.2,0,73,84.00769392,-8.021138548
1311-53454,2013,8,20,9,25,RASPBERRY I LEDGE,SESA,HY,28,90.5,19.25,24.15,NA,NA,79,79.2555462,0.609993007
1311-53455,2013,8,20,9,25,RASPBERRY I LEDGE,SESA,AHY,30,95.5,17.29,22.38,NA,2,74,80.38985575,1.98195747
1311-53456,2013,8,20,9,25,RASPBERRY I LEDGE,SESA,AHY,34,93.5,18.31,20.62,NA,3,80,79.13357381,6.677525718
1311-53457,2013,8,20,9,25,RASPBERRY I LEDGE,SESA,HY,24,93.5,18.01,22,NA,1,81,79.4692207,-3.508312596
1311-53458,2013,8,20,9,25,RASPBERRY I LEDGE,SESA,AHY,34,96.5,16.38,22.11,NA,2,82,80.30076711,6.031283361
1311-53459,2013,8,20,9,25,RASPBERRY I LEDGE,SESA,HY,26,99.5,19.89,23.05,NA,1,78,84.91544532,-4.523735166
1311-53460,2013,8,20,9,25,RASPBERRY I LEDGE,SESA,AHY,27,96,18.02,21.61,NA,1,7,80.89558593,-1.298051217
1311-53461,2013,8,20,9,25,RASPBERRY I LEDGE,SESA,HY,24,94.5,19.87,21.25,NA,1,8,81.05767215,-4.387793832
1311-53463,2013,8,20,9,25,NARROWS I LEDGE,SESA,AHY,29,96.5,17.62,21.64,NA,NA,5,80.95233885,0.670526276
1311-53464,2013,8,20,9,25,NARROWS I LEDGE,SESA,AHY,30,96.5,17.49,21.28,NA,2,6,80.72459556,1.796621379
1311-53465,2013,8,20,9,25,NARROWS I LEDGE,SESA,AHY,23,93.5,17.96,21.4,NA,1,9,79.20183415,-4.36026813
1311-53466,2013,8,20,9,25,NARROWS I LEDGE,SESA,AHY,28,95.5,19.37,21.85,NA,2,13,81.58346986,-0.678913346
1311-53467,2013,8,20,9,25,NARROWS I LEDGE,SESA,AHY,30,95,19.14,21.11,NA,2,12,80.82607383,1.740435697
1311-53468,2013,8,20,9,25,NARROWS I LEDGE,SESA,HY,27,97.5,20.22,21.66,NA,2,11,83.338849,-2.650817787
1311-53469,2013,8,20,9,25,NARROWS I LEDGE,SESA,HY,26,96.5,17.03,21.1,NA,1,77,80.34484403,-1.993120797
1311-53471,2013,8,20,9,25,NARROWS I LEDGE,SESA,HY,26,96.5,18.68,22.25,NA,1,63,81.90346568,-2.856086105
1311-53472,2013,8,20,9,25,NARROWS I LEDGE,SESA,HY,24,99,18.75,21.91,NA,0.5,14,83.38969531,-5.678969967
1311-53473,2013,8,20,9,25,NARROWS I LEDGE,SESA,HY,27,100.5,20.38,22.65,NA,1,76,85.71807409,-3.968128316
1311-53477,2013,8,20,9,25,NARROWS I LEDGE,SESA,HY,27,102.5,20.38,21.68,NA,0.5,10,86.59745653,-4.455017826
