BBL.ID,Year,Month,Day,Hour,Minute,Location,Species,AGE,Mass,WC,EC,Tarsus,Culmen,Fat,id
2571-56201,2014,8,5,18,30,LEDGE,SESA,AHY,24,97,20.5,20.8,17.14,1,10
2571-56203,2014,8,5,18,40,LEDGE,SESA,AHY,27,98,19.81,21.54,16.75,1,8
2571-56202,2014,8,5,18,35,LEDGE,SESA,AHY,23,98.5,19.22,21.53,16.75,0,7
2571-56204,2014,8,5,18,46,LEDGE,SESA,AHY,26,94.5,18.82,21.67,16.63,1,11
2571-56205,2014,8,5,19,3,LEDGE,SESA,AHY,26,97.5,18.02,21.51,15.47,1,31
2571-56206,2014,8,5,19,2,LEDGE,SESA,AHY,28,100,19.12,24.04,16.55,1,9
2571-56207,2014,8,5,19,8,LEDGE,SESA,AHY,21,94,17.67,20.9,15.05,1,30
2571-56211,2014,8,8,9,4,DRY LEDGE,SESA,AHY,30,95.5,18.53,21.16,15.83,1,175
2571-56212,2014,8,8,9,0,DRY LEDGE,SESA,AHY,26,98,18.51,21.31,15.28,1,176
2571-56214,2014,8,8,9,8,DRY LEDGE,SESA,AHY,27,97,19.3,21.87,16.86,3,409
2571-56217,2014,8,8,10,46,RASPBERRY LEDGE,SESA,AHY,30,101,20.44,22.27,17.52,1,177
2571-56215,2014,8,8,10,36,RASPBERRY LEDGE,SESA,AHY,29,99.5,20.22,22.66,16.67,1,179
2571-56219,2014,8,8,11,3,RASPBERRY LEDGE,SESA,AHY,29,101,19.2,21.07,16.09,2,178
2571-56220,2014,8,8,11,8,RASPBERRY LEDGE,SESA,AHY,24,96.5,16.54,22.07,14.36,1,180
2571-56221,2014,8,8,11,17,RASPBERRY LEDGE,SESA,AHY,25,97.5,20.34,23.64,17.21,1,412
2571-56224,2014,8,18,11,0,LOWER WASS COVE,SESA,HY,25,94,19.54,20.97,15.81,2,414
2571-56225,2014,8,18,11,7,LOWER WASS COVE,SESA,HY,23,96.5,19.59,20.64,15.7,1,189
2571-56226,2014,8,18,11,11,LOWER WASS COVE,SESA,HY,27,94,19.65,20.98,16.43,1,411
2571-56227,2014,8,19,9,46,LOWER WASS COVE,SESA,HY,29,99.5,20.16,21.57,16.99,1,188
2571-56228,2014,8,19,9,55,LOWER WASS COVE,SESA,HY,33,96,20.7,21.4,16.91,2,190
2571-56229,2014,8,19,11,37,LOWER WASS COVE,SESA,HY,31,97,19.52,22.71,15.57,2,186
2571-56230,2014,8,19,12,35,LOWER WASS COVE,SESA,AHY,27.8,101,20.84,21.45,17.17,1,416
2571-56231,2014,8,19,12,0,LOWER WASS COVE,SESA,AHY,30,99.5,17.11,22,14.69,1,407
2571-56232,2014,8,19,11,57,LOWER WASS COVE,SESA,HY,27,100.5,22.27,22.27,19.6,1,182
2571-56234,2014,8,19,12,7,LOWER WASS COVE,SESA,HY,24,96.5,18.26,23.36,14.92,0.5,181
2571-56235,2014,8,19,12,14,LOWER WASS COVE,SESA,HY,25,102.5,20.88,22.65,17.56,0.5,187
2571-56236,2014,8,19,12,18,LOWER WASS COVE,SESA,HY,31,98,19.49,22.29,16.32,3,29
2571-56237,2014,8,19,12,23,LOWER WASS COVE,SESA,HY,27,99.5,21.09,21.28,18.06,2,410
2571-56238,2014,8,19,12,29,LOWER WASS COVE,SESA,HY,32,99,20.96,22.1,18.28,3,408
2571-56239,2014,8,19,12,33,LOWER WASS COVE,SESA,AHY,33,97,20.09,21.87,16.65,2,415
2571-56240,2014,8,19,12,37,LOWER WASS COVE,SESA,AHY,29,99,18.84,22.29,16.13,1,27
2571-56243,2014,8,19,12,48,LOWER WASS COVE,SESA,HY,27,98,19.44,22.34,16.34,1,413
2571-56244,2014,8,19,12,54,LOWER WASS COVE,SESA,HY,25,101.5,20.06,22.22,17.21,1,28
2571-56250,2014,9,10,11,21,NARROWS LEDGE,SESA,HY,28,95,16.99,20.88,13.14,2,192
2571-56251,2014,9,10,11,40,NARROWS LEDGE,SESA,HY,27,95.5,17.15,20.54,15.07,2,195
2571-56252,2014,9,10,11,46,NARROWS LEDGE,SESA,HY,29,93.5,18.75,21.1,16,3,196
2571-56255,2014,9,10,12,4,NARROWS LEDGE,SESA,HY,31,94,17.35,22.94,14.92,3,194
2571-56256,2014,9,10,12,15,NARROWS LEDGE,SESA,HY,27,99,18.58,22.54,16.38,1,193
2571-56258,2014,9,10,12,18,NARROWS LEDGE,SESA,HY,27,93.5,16.75,22.01,14.74,2,185
2571-56260,2014,9,10,12,28,NARROWS LEDGE,SESA,HY,30,96.5,19.06,21.54,15.74,2,191
2571-56261,2014,9,10,12,34,NARROWS LEDGE,SESA,HY,31,96.5,18.3,21.67,14.73,3,183
